0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param
16.0,,14,,14,12,13,14,15,17.0,15,15.0,5,7,15.0,9,13,14.0,,11,7,13.0,14.0,,,7.0,7.0,14,14.0,5.0,1,14.0,6.0,0.0,13,8,10.0,,13,13,4,8,0.0,0,13,12,8,14,9,16.0,14,,15.0,,9,6.0,0.0,0.0,4,15,,12,10,14,10.0,10,,11,14,0.0,0.0,,15.0,,0.0,19.0,15,1,4,11,13.0,0.0,12,8.0,,8.0,15.0,13,,17.0,15.0,0.0,22,12
39.0,11.0,26,0.0,26,16,26,21,27,0.0,4,40.0,28,25,24.0,13,25,,,2,12,1.0,30.0,,0.0,40.0,,0,20.0,0.0,28,28.0,38.0,39.0,26,23,35.0,,26,16,26,14,27.0,25,25,12,22,0,27,14.0,15,25.0,15.0,24.0,2,29.0,,15.0,0,10,5.0,0,13,8,35.0,9,25.0,0,25,24.0,,,39.0,,0.0,,29,27,29,17,18.0,,21,27.0,2.0,28.0,30.0,16,,27.0,20.0,40.0,23,12
9.0,18.0,20,,20,15,19,4,23,6.0,22,24.0,19,16,2.0,15,17,19.0,,18,0,13.0,23.0,19.0,25.0,7.0,,19,23.0,0.0,20,10.0,,,21,15,,0.0,19,20,18,19,22.0,19,17,19,21,20,0,24.0,14,,15.0,,15,5.0,0.0,25.0,18,6,24.0,0,1,21,,16,25.0,19,5,,6.0,17.0,0.0,23.0,0.0,8.0,20,20,20,18,,21.0,7,17.0,5.0,21.0,0.0,19,,0.0,14.0,17.0,24,12
0.0,11.0,14,25.0,15,4,0,13,22,17.0,1,16.0,13,14,25.0,3,13,,,8,13,14.0,23.0,,2.0,11.0,,15,23.0,14.0,11,17.0,,33.0,14,0,11.0,,12,7,13,9,21.0,10,15,7,0,10,14,22.0,3,9.0,0.0,17.0,11,13.0,,18.0,0,17,,16,2,0,24.0,5,,0,15,,0.0,32.0,15.0,,27.0,,17,3,12,10,8.0,33.0,0,,24.0,23.0,3.0,10,32.0,15.0,,19.0,25,12
,,9,24.0,13,0,10,21,0,27.0,5,34.0,14,5,20.0,12,5,24.0,0.0,8,0,16.0,16.0,22.0,26.0,33.0,21.0,13,12.0,11.0,1,0.0,,,0,12,22.0,,11,2,9,11,16.0,0,10,15,21,20,2,3.0,19,2.0,14.0,20.0,17,16.0,,27.0,22,23,12.0,20,14,0,,11,,18,13,,15.0,,31.0,28.0,7.0,,19,7,16,13,,10.0,3,30.0,28.0,0.0,0.0,13,,12.0,11.0,,26,12
13.0,,16,23.0,9,10,16,19,20,18.0,19,18.0,7,16,13.0,3,15,,0.0,5,14,13.0,0.0,9.0,17.0,3.0,,0,21.0,11.0,0,7.0,,16.0,9,15,,,9,14,15,0,23.0,16,15,0,18,15,16,21.0,0,29.0,22.0,18.0,10,20.0,6.0,2.0,0,16,16.0,6,12,17,0.0,8,,13,17,,18.0,23.0,21.0,10.0,2.0,4.0,18,7,17,13,,18.0,14,,15.0,23.0,24.0,0,,,,,27,12
18.0,14.0,13,,17,12,0,15,7,17.0,18,22.0,17,15,0.0,9,14,,,10,11,0.0,23.0,,2.0,23.0,,16,24.0,15.0,0,16.0,,12.0,18,16,29.0,,14,1,0,11,,2,5,14,1,15,3,23.0,15,,10.0,3.0,15,18.0,7.0,0.0,0,16,5.0,16,2,10,29.0,7,0.0,0,14,12.0,13.0,,7.0,29.0,8.0,11.0,17,14,13,14,,13.0,8,0.0,17.0,,,10,13.0,10.0,21.0,,28,12
23.0,14.0,7,,13,0,12,16,13,25.0,0,16.0,14,7,26.0,12,6,,,0,6,25.0,24.0,,26.0,28.0,,10,7.0,15.0,6,13.0,,,6,11,29.0,0.0,12,13,3,0,0.0,9,12,7,11,5,15,1.0,2,,14.0,,13,4.0,29.0,23.0,4,24,15.0,16,12,0,,7,,2,13,26.0,0.0,15.0,29.0,0.0,5.0,1.0,15,12,13,4,26.0,14.0,11,,27.0,8.0,16.0,13,17.0,,0.0,,29,12
0.0,,2,20.0,14,13,13,13,0,9.0,2,12.0,14,11,15.0,11,4,,8.0,9,12,0.0,16.0,20.0,0.0,17.0,,4,13.0,10.0,7,7.0,,,0,14,14.0,23.0,13,8,12,11,18.0,6,13,13,14,12,13,15.0,5,3.0,17.0,,11,15.0,,13.0,4,0,12.0,12,10,9,,2,,0,14,,0.0,,0.0,11.0,15.0,,12,13,14,13,1.0,0.0,11,8.0,9.0,16.0,19.0,14,11.0,,,14.0,30,12
0.0,,18,26.0,1,18,14,0,0,,17,9.0,20,20,22.0,18,19,32.0,,17,18,30.0,5.0,,28.0,16.0,,21,22.0,14.0,9,21.0,34.0,16.0,0,20,0.0,,19,17,17,20,27.0,7,8,0,16,6,18,14.0,0,0.0,22.0,0.0,19,7.0,9.0,,31,20,,22,19,21,,18,,15,21,28.0,24.0,0.0,22.0,26.0,31.0,13.0,22,10,21,19,29.0,23.0,19,11.0,34.0,23.0,,22,,17.0,32.0,,31,12
