0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
,,1.0,0.0,4.0,4.0,3.0,3.0,2.0,6.0,0.0,5.0,3.0,0.0,,3.0,6.0,4.0,4.0,0.0,2.0,0.0,3.0,6.0,5.0,4.0,,1.0,3.0,6.0,4.0,3.0,1.0,5.0,4.0,3.0,6.0,4.0,3.0,6.0,4.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,0.0,4.0,4.0,1.0,,0.0,2.0,5.0,4.0,3.0,5.0,,5.0,4.0,5.0,5.0,2,4.0,4.0,2.0,0.0,6.0,3.0,5.0,,,4.0,5.0,3.0,0.0,3.0,,6.0,2.0,6.0,,1.0,3.0,6.0,6.0,,6.0,6.0,21,0.05,2.499212598425197,-0.29885536552568287
,6.0,4.0,,3.0,4.0,3.0,3.0,2.0,5.0,,5.0,5.0,3.0,4.0,1.0,2.0,1.0,6.0,3.0,2.0,4.0,1.0,5.0,3.0,6.0,5.0,4.0,4.0,6.0,5.0,,5.0,0.0,6.0,6.0,1.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,4.0,4.0,6.0,5.0,5.0,5.0,,4.0,,6.0,5.0,0.0,0.0,1.0,4.0,2.0,3.0,,5.0,6.0,5,4.0,4.0,5.0,0.0,0.0,,6.0,6.0,0.0,,4.0,5.0,2.0,5.0,,0.0,3.0,4.0,6.0,5.0,,3.0,,,4.0,0.0,22,0.05,2.6018518518518516,-0.027601159939389358
,,7.0,0.0,3.0,3.0,6.0,2.0,2.0,0.0,6.0,1.0,4.0,1.0,3.0,3.0,5.0,7.0,,4.0,3.0,,4.0,3.0,0.0,,,0.0,2.0,0.0,5.0,4.0,4.0,6.0,7.0,3.0,6.0,6.0,4.0,5.0,1.0,1.0,1.0,6.0,2.0,5.0,3.0,0.0,3.0,5.0,6.0,7.0,6.0,2.0,3.0,5.0,4.0,6.0,0.0,1.0,1.0,0.0,1.0,5.0,,3,,0.0,7.0,4.0,6.0,4.0,3.0,5.0,0.0,4.0,6.0,3.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,7.0,5.0,7.0,5.0,,,,23,0.05,2.9655172413793105,-0.11643353226456417
3.0,,4.0,,3.0,2.0,1.0,3.0,3.0,6.0,3.0,4.0,3.0,3.0,6.0,3.0,2.0,,5.0,3.0,0.0,4.0,4.0,2.0,4.0,7.0,5.0,3.0,4.0,0.0,3.0,2.0,1.0,4.0,4.0,7.0,,0.0,6.0,4.0,6.0,4.0,2.0,6.0,2.0,5.0,7.0,3.0,0.0,,2.0,,,5.0,2.0,2.0,0.0,3.0,3.0,1.0,6.0,0.0,4.0,4.0,5.0,3,6.0,4.0,2.0,4.0,7.0,3.0,0.0,4.0,0.0,6.0,1.0,5.0,5.0,5.0,6.0,5.0,6.0,4.0,,,0.0,6.0,4.0,0.0,7.0,,24,0.05,2.8443017656500804,-0.1268042218902657
0.0,,5.0,7.0,4.0,4.0,0.0,5.0,,4.0,5.0,5.0,1.0,5.0,7.0,1.0,1.0,7.0,3.0,3.0,3.0,1.0,4.0,5.0,3.0,6.0,,2.0,7.0,1.0,3.0,5.0,,6.0,6.0,0.0,6.0,6.0,6.0,6.0,2.0,3.0,5.0,6.0,4.0,2.0,0.0,6.0,7.0,5.0,,6.0,0.0,,1.0,7.0,5.0,2.0,0.0,3.0,3.0,2.0,4.0,0.0,1.0,3,,0.0,6.0,6.0,0.0,5.0,1.0,3.0,,,1.0,4.0,,5.0,,6.0,0.0,,1.0,4.0,2.0,6.0,6.0,,5.0,6.0,25,0.05,3.1470588235294117,-0.1921529709687483
5.0,1.0,1.0,4.0,6.0,0.0,4.0,3.0,0.0,2.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,0.0,2.0,0.0,2.0,3.0,1.0,3.0,,5.0,1.0,3.0,5.0,3.0,0.0,,5.0,0.0,3.0,,3.0,4.0,4.0,2.0,3.0,2.0,0.0,2.0,2.0,5.0,3.0,3.0,1.0,,4.0,4.0,6.0,6.0,,,5.0,4.0,5.0,,2.0,5.0,0.0,2.0,3,6.0,5.0,3.0,4.0,5.0,,2.0,5.0,3.0,4.0,5.0,4.0,6.0,2.0,,,2.0,2.0,6.0,0.0,0.0,5.0,4.0,6.0,6.0,4.0,26,0.05,2.5705229793977815,-0.27810483280275117
,,3.0,,6.0,6.0,4.0,3.0,4.0,3.0,1.0,,5.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,4.0,2.0,1.0,,0.0,2.0,1.0,0.0,5.0,4.0,5.0,3.0,1.0,3.0,5.0,2.0,4.0,3.0,0.0,4.0,2.0,2.0,0.0,2.0,4.0,4.0,4.0,0.0,4.0,3.0,5.0,1.0,2.0,5.0,1.0,0.0,3.0,5.0,2.0,4.0,3.0,0.0,1,,2.0,2.0,2.0,2.0,,6.0,3.0,,3.0,1.0,5.0,2.0,1.0,5.0,3.0,3.0,,4.0,3.0,6.0,0.0,3.0,6.0,6.0,,27,0.05,2.449367088607595,-0.3499109293804215
3.0,7.0,3.0,4.0,3.0,4.0,0.0,4.0,5.0,2.0,4.0,6.0,3.0,2.0,0.0,1.0,4.0,6.0,3.0,1.0,2.0,0.0,5.0,7.0,5.0,5.0,6.0,4.0,,4.0,0.0,5.0,6.0,3.0,,2.0,6.0,4.0,7.0,4.0,0.0,2.0,,3.0,6.0,,6.0,4.0,4.0,6.0,5.0,,3.0,,1.0,2.0,7.0,0.0,0.0,2.0,,4.0,4.0,5.0,2.0,5,0.0,0.0,4.0,5.0,4.0,6.0,6.0,6.0,,5.0,3.0,5.0,4.0,3.0,4.0,7.0,1.0,0.0,5.0,5.0,7.0,1.0,7.0,,2.0,6.0,28,0.05,2.9607535321821037,-0.353058990980047
,,4.0,4.0,4.0,0.0,4.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,3.0,1.0,1.0,,3.0,0.0,1.0,2.0,5.0,2.0,4.0,,4.0,4.0,2.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,,0.0,4.0,3.0,,0.0,0.0,3.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,,,1.0,5.0,4.0,2.0,,4.0,,4.0,2.0,0.0,3.0,1,3.0,5.0,4.0,,0.0,,,0.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,,3.0,2.0,3.0,4.0,5.0,0.0,4.0,29,0.05,2.338582677165354,-0.17124483691689718
0.0,7.0,4.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,3.0,5.0,5.0,6.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,0.0,7.0,3.0,0.0,4.0,3.0,4.0,5.0,3.0,6.0,5.0,6.0,,0.0,2.0,3.0,3.0,4.0,,3.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,,,6.0,6.0,2.0,7.0,0.0,4.0,2.0,5.0,7.0,5.0,3,4.0,0.0,1.0,6.0,0.0,,0.0,4.0,,7.0,4.0,5.0,5.0,1.0,,0.0,4.0,,6.0,3.0,5.0,3.0,6.0,,5.0,,30,0.05,2.7567567567567566,-0.19317759203524884
