,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,theta,seed,q,EPH,corr
1249,1249,3.0,4.0,3.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,3.0,3.0,0.0,2.0,1.0,2.0,0.0,4.0,2.0,2.0,3.0,0.0,2.0,4.0,1.0,2.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,3.0,3.0,2.0,3.0,3.0,0.3,49,-1,1.7223476297968396,-0.1954190999819427
1250,1250,,,0.0,,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,2.0,,,0.0,,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,2.0,,,1.0,,,,,2.0,1.0,,0.0,0.0,,,1.0,0.3,50,-1,2.2888888888888888,0.12399830344116076
1251,1251,,,,,,,,,,,,,,,,,0.0,,,1.0,,0.0,,,1.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,1.0,,,,,,,,0.0,,,,0.0,,0.3,51,-1,1.6428571428571428,0.0842151921066519
1252,1252,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,0.0,1.0,,,,0.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.3,52,-1,1.9322033898305084,-0.41079191812887456
1253,1253,,,,,,,1.0,,,0.0,,,0.0,,,,,,,,,,0.0,,,0.0,,1.0,,0.0,,,,2.0,1.0,,,0.0,1.0,,,,,,,,,,0.0,,,,,,,,,1.0,0.0,,1.0,0.0,,0.0,,,,,1.0,,2.0,,,,,0.3,53,-1,2.4698162729658795,-0.34307292821598034
1254,1254,1.0,,0.0,,,1.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,0.3,54,-1,2.753086419753086,-0.17904216869721126
1255,1255,8.0,8.0,8.0,7.0,8.0,9.0,7.0,6.0,3.0,6.0,8.0,1.0,6.0,1.0,7.0,5.0,5.0,7.0,2.0,7.0,7.0,8.0,7.0,5.0,6.0,7.0,0.0,7.0,6.0,0.0,7.0,7.0,8.0,0.0,6.0,0.0,5.0,0.0,6.0,0.0,8.0,7.0,5.0,8.0,8.0,8.0,7.0,4.0,8.0,5.0,8.0,6.0,6.0,6.0,0.0,0.0,8.0,1.0,4.0,8.0,1.0,0.0,7.0,1.0,6.0,5.0,9.0,2.0,7.0,7.0,7.0,6.0,0.0,8.0,8.0,0.3,55,-1,3.385113268608414,0.10847215026031537
1256,1256,7.0,10.0,11.0,7.0,11.0,11.0,1.0,4.0,9.0,6.0,11.0,10.0,0.0,10.0,0.0,0.0,11.0,6.0,9.0,10.0,5.0,4.0,0.0,8.0,0.0,8.0,9.0,1.0,1.0,9.0,9.0,9.0,7.0,1.0,0.0,8.0,8.0,3.0,9.0,11.0,11.0,3.0,9.0,11.0,10.0,2.0,5.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,8.0,0.0,10.0,0.0,10.0,10.0,11.0,12.0,10.0,6.0,0.0,5.0,0.0,10.0,1.0,7.0,3.0,11.0,10.0,11.0,11.0,0.3,56,-1,4.468686868686869,-0.01755577954759614
1257,1257,2.0,0.0,1.0,4.0,,0.0,,,,,1.0,0.0,,,,,3.0,3.0,,,,,0.0,,,,,,,3.0,,,3.0,5.0,,,,0.0,,2.0,0.0,,,1.0,,,,,0.0,,2.0,,,,,2.0,0.0,,0.0,,,,,3.0,5.0,,3.0,,1.0,3.0,4.0,1.0,0.0,,,0.3,57,-1,3.934256055363322,-0.08169573782358917
1258,1258,,,,,,,,2.0,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,,1.0,,,,,0.0,0.0,,0.0,,0.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,58,-1,2.447802197802198,0.2930471350766347
