,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,betha,seed
64,,,,,,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.039,64
65,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,0.0,,,,0.005,65
66,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,0.039,66
67,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,0.023,67
68,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.014,68
69,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,0.023,69
70,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,0.014,70
71,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.023,71
72,,,,,,,,0.0,,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.005,72
73,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,0.014,73
