,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
30,30,30,2,,0,1.0,1,1,1,2,1,2,2,1,0,1,1,1,1,0,2,1,1,1,1,0.0,2,1,1,2,2,2,1,1,2,1.0,2,2,2.0,0,1,1,1,2,1,1,2,0,0,1,1,1,1,2,2,0.0,2,1,1,2.0,2,2,2,2,1,2,2.0,1,2.0,2,1,2,2,2.0,1,2.0,2.0,1,2,1,2,1,2.0,2,1,1,2,2,1,2,2,1.0,2,2.0,0.5,30,1.0656934306569343,-0.2022285931640844
31,31,31,1,2.0,1,2.0,1,1,0,1,1,1,2,2,1,1,1,1,0,1,1,1,2,1,1,0.0,1,1,1,1,0,1,1,2,2,1.0,2,2,2.0,1,2,1,1,2,0,1,1,1,0,1,1,1,1,2,1,2.0,1,1,1,2.0,0,2,1,2,1,1,,1,1.0,1,1,2,1,2.0,1,1.0,1.0,2,1,2,1,1,2.0,1,0,1,2,1,1,0,2,2.0,1,2.0,0.6,31,1.0719794344473008,-0.2795199896342329
32,32,32,2,2.0,1,0.0,1,0,1,1,2,1,1,2,1,1,1,1,1,2,2,0,2,2,2,1.0,1,1,1,1,1,1,1,1,2,2.0,1,1,1.0,1,1,1,1,1,2,0,1,2,1,1,2,1,1,2,1,1.0,0,1,1,1.0,1,1,2,2,0,2,1.0,1,1.0,2,1,1,1,0.0,1,1.0,2.0,1,1,1,1,1,1.0,1,1,2,2,1,2,0,0,0.0,1,2.0,0.5,32,1.0736842105263158,-0.1970687402396674
33,33,33,2,2.0,1,2.0,2,2,1,0,1,1,1,1,1,2,2,1,2,2,0,1,0,1,2,1.0,1,2,1,1,1,1,1,1,1,2.0,1,1,2.0,1,1,1,2,1,1,2,2,1,2,1,1,2,1,2,1,2.0,1,1,2,0.0,1,1,2,0,1,1,2.0,1,0.0,0,1,2,2,3.0,2,0.0,2.0,2,1,2,2,2,1.0,2,2,0,1,2,2,1,0,2.0,2,2.0,0.4,33,1.100702576112412,-0.2433188446135653
34,34,34,1,1.0,1,2.0,2,1,2,1,2,1,2,0,1,1,1,1,1,1,0,1,1,1,2,1.0,2,1,2,1,2,0,1,2,2,0.0,2,0,1.0,1,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2.0,1,2,2,1.0,1,2,2,2,1,2,2.0,1,2.0,1,0,0,1,1.0,2,1.0,2.0,2,2,1,0,1,1.0,1,2,2,1,0,1,2,2,2.0,2,2.0,0.5,34,1.0722610722610724,-0.1529629705029991
35,35,35,2,1.0,1,2.0,2,2,1,1,2,1,2,0,1,1,1,0,1,2,2,1,1,2,2,1.0,2,1,1,2,1,1,2,1,2,0.0,1,1,1.0,2,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2.0,1,0,0,1.0,2,1,2,1,1,0,0.0,1,2.0,2,2,1,2,2.0,0,0.0,,2,1,1,2,2,2.0,2,2,1,1,2,2,1,1,2.0,2,2.0,0.5,35,1.077669902912621,-0.0971838369787343
36,36,36,2,2.0,1,1.0,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,1,1,2,2,1.0,2,2,2,1,2,1,0,1,1,0.0,2,2,2.0,0,1,1,0,2,2,1,0,1,1,2,1,1,2,2,1,2.0,1,0,2,2.0,2,1,2,2,2,2,2.0,1,2.0,1,1,2,1,1.0,1,2.0,2.0,1,1,1,1,2,1.0,1,1,2,1,2,1,1,2,2.0,0,2.0,0.5,36,1.06993006993007,-0.3832016682604531
37,37,37,1,1.0,2,2.0,2,2,2,1,1,2,2,2,1,1,1,0,1,1,1,1,1,2,0,1.0,1,1,2,1,2,1,1,1,1,2.0,1,0,2.0,1,2,1,2,1,0,1,1,2,2,1,1,1,1,1,2,0.0,1,1,2,1.0,2,1,3,2,1,0,2.0,1,2.0,0,2,2,2,3.0,2,1.0,2.0,2,0,2,2,1,2.0,1,1,2,1,0,1,1,0,2.0,2,2.0,0.4,37,1.1144708423326133,-0.2792074112002877
38,38,38,2,3.0,0,3.0,0,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,0.0,1,1,1,1,2,2,2,1,1,0.0,1,1,2.0,1,1,2,1,2,1,1,1,2,2,2,1,1,2,1,1,0.0,2,1,2,2.0,1,1,0,1,1,2,2.0,1,2.0,2,1,2,2,2.0,1,2.0,0.0,0,2,2,2,1,2.0,1,2,0,2,2,2,1,2,0.0,2,2.0,0.5,38,1.0631067961165048,-0.1439459142914307
39,39,39,1,2.0,1,2.0,0,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1.0,1,2,2,1,2,1,1,0,1,2.0,1,1,2.0,2,1,2,1,0,1,2,1,1,2,2,0,1,1,1,1,2.0,1,1,2,1.0,2,0,1,1,1,1,0.0,1,2.0,1,2,1,0,2.0,1,2.0,2.0,0,1,2,2,1,1.0,1,1,2,1,2,1,1,1,2.0,1,1.0,0.5,39,1.0765171503957784,-0.316939571628693
