,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
40,40,2,1,1,2.0,1,1,2,0,1,1,1,2,0,1,1,1,1,2,1,0,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1.0,0,1,1,1,1,1,2,1,1,2,1,1,2,0,2,2,3,1,1,0,1,1,1,2,1,1,1,2.0,0,1.0,1,1,1,0,0,1,2.0,2.0,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1.0,2,0.0,0.6,40,1.0692307692307692,-0.22725978098162275
41,41,3,2,2,2.0,2,1,1,1,1,1,2,1,0,1,2,1,2,2,2,1,1,2,2,0,2,2,0,1,2,2,2,2,2,2,1,0,1.0,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,1,4,2,1,0,2,1,2,1,1,2,1,0.0,0,3.0,1,1,2,2,2,1,2.0,2.0,2,1,2,2,1,0,2,2,1,1,0,1,1,2,0.0,1,2.0,0.4,41,1.1362637362637362,-0.17205427248394814
42,42,2,2,1,2.0,1,1,1,2,1,2,1,2,1,1,0,1,1,2,2,1,0,1,2,1,2,2,1,1,1,2,1,2,2,1,1,1,2.0,2,1,1,1,2,1,1,2,1,2,2,1,1,2,0,1,1,2,2,1,1,1,1,0,2,1,1,2.0,1,1.0,1,1,2,1,0,2,2.0,0.0,1,1,2,1,1,2,1,0,1,2,1,0,0,2,,2,2.0,0.6,42,1.0510752688172043,-0.23129572081582198
43,43,1,2,1,2.0,1,2,1,1,1,1,1,1,1,1,2,1,0,0,1,1,1,0,2,1,2,3,2,2,1,2,1,2,2,1,2,1,2.0,2,1,2,1,1,1,2,1,2,2,1,1,0,1,0,1,1,1,1,2,1,0,0,1,2,1,1,0.0,1,1.0,1,0,2,2,2,2,2.0,1.0,1,2,2,1,2,2,1,1,2,1,1,2,2,2,2.0,1,0.0,0.4,43,1.0870588235294119,-0.11277561777842798
44,44,1,2,1,0.0,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,0,2,0,0,1,1,1,2,2,2,1,1,2,2,1,0,1.0,1,2,2,1,2,1,1,2,0,1,2,1,1,1,2,1,2,2,0,1,1,1,0,2,1,1,2,2.0,1,2.0,1,2,1,2,3,1,1.0,2.0,2,2,2,2,1,2,2,1,1,0,2,1,2,3,2.0,2,2.0,0.4,44,1.0892857142857142,-0.29147974190358295
45,45,1,2,2,0.0,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1,1,1,1,2,2,1,2,2,2,2,2,0,1,0,2,1,0,1.0,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,2,0,1,1,1.0,0,1.0,1,0,2,1,1,2,1.0,1.0,0,1,1,2,1,2,1,1,1,2,0,1,1,1,2.0,2,2.0,0.6,45,1.0804878048780489,-0.22425936441389033
46,46,1,2,1,2.0,1,1,1,2,1,2,2,1,1,1,1,1,1,1,0,0,1,1,2,1,1,1,2,0,1,2,2,1,1,2,2,1,1.0,1,1,1,0,2,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,0,2,0,0,1,2,1.0,1,2.0,1,1,0,1,1,1,2.0,1.0,0,2,1,1,1,0,2,1,2,1,2,2,1,2,2.0,1,2.0,0.5,46,1.0880195599022005,-0.22996784196974826
47,47,2,2,1,2.0,2,1,0,0,0,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,2,1,1,1,1,2,2,2,2,2.0,1,2,1,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,2.0,1,2.0,1,1,1,2,0,0,2.0,2.0,1,1,2,1,2,0,1,1,1,1,1,2,2,1,2.0,1,2.0,0.6,47,1.043227665706052,-0.19227835206449148
48,48,0,3,1,3.0,2,1,2,2,1,2,1,2,3,1,1,2,1,1,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,2,0,1,1.0,3,2,2,2,2,2,2,1,2,2,2,0,1,2,0,2,3,2,1,2,2,2,2,2,2,2,1,0.0,1,2.0,1,0,1,0,2,2,2.0,2.0,1,1,2,2,1,2,0,1,1,2,1,1,1,2,3.0,1,0.0,0.4,48,1.136150234741784,-0.16307761898398596
49,49,1,2,1,3.0,1,0,1,2,1,2,2,1,0,1,2,1,2,2,0,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,0.0,1,1,1,0,1,0,1,1,0,2,1,1,0,1,2,2,2,0,1,1,2,1,2,2,2,1,2,2.0,1,2.0,1,1,0,1,2,1,1.0,1.0,2,2,1,2,1,2,1,1,1,2,1,1,2,2,2.0,1,2.0,0.6,49,1.069377990430622,-0.31565793600701253
50,50,1,3,0,3.0,0,0,1,1,1,2,1,0,2,1,2,1,1,2,1,1,2,2,0,1,2,1,1,2,2,2,1,1,1,0,1,2,2.0,1,1,2,1,1,2,1,1,1,2,2,0,1,2,1,3,2,2,1,2,2,3,2,2,2,2,1,2.0,1,3.0,2,1,1,0,0,2,1.0,3.0,2,1,2,2,2,3,1,1,2,2,2,1,1,1,2.0,2,2.0,0.4,50,1.1486486486486487,-0.296317910084388
51,51,1,2,1,1.0,1,2,1,1,1,1,1,1,2,1,1,1,0,2,1,1,1,0,1,1,1,1,2,1,0,2,2,1,1,1,2,1,2.0,0,1,2,1,1,1,1,1,1,2,2,2,1,1,2,0,1,1,1,2,0,1,1,0,1,1,2,1.0,1,1.0,1,2,0,2,2,1,0.0,2.0,2,2,2,2,2,1,1,1,2,2,1,1,2,2,2.0,2,2.0,0.6,51,1.0337078651685394,-0.11561643496130145
52,52,1,2,1,1.0,2,2,1,1,2,2,2,0,2,0,2,2,1,3,2,1,1,2,1,0,3,1,1,1,0,2,2,1,0,2,1,1,3.0,1,1,2,1,2,1,2,1,2,2,3,1,1,2,2,1,3,1,2,2,2,2,2,3,1,2,2,1.0,1,2.0,2,2,0,2,2,1,1.0,3.0,2,2,2,1,1,2,2,1,2,2,1,0,2,2,2.0,1,0.0,0.5,52,1.0833333333333333,-0.21350924387125683
53,53,2,2,1,2.0,2,2,1,1,2,2,1,1,0,2,2,1,1,2,1,1,1,2,0,2,1,0,1,2,2,0,1,1,1,2,2,2,1.0,0,2,1,1,2,2,2,1,2,1,1,0,2,1,1,2,2,1,1,2,1,0,2,2,0,1,0,2.0,1,2.0,1,2,1,2,2,2,2.0,1.0,2,1,2,1,1,1,2,2,1,1,1,2,2,0,1.0,2,1.0,0.5,53,1.092378752886836,-0.14098186235630972
54,54,2,2,0,2.0,2,1,0,0,1,0,1,1,2,1,1,0,1,0,2,1,1,1,1,0,1,1,1,1,2,1,2,1,1,2,1,1,2.0,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,0,1,1,1,1,2,1,1,0.0,1,2.0,1,1,0,2,2,1,1.0,2.0,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2.0,2,2.0,0.5,54,1.063613231552163,-0.33256533664434224
