,Unnamed: 0.1,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,betha,seed,EPH,corr
43,43,43,2,3.0,1,2.0,2,1,2,2,2,1,2,1,1,1,2,2,0,0.0,1,1,1,0,1,1,1,2,2,2,1,2,1,2,3.0,1.0,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,0,1,0,1,2.0,1,2,2,2,0,0,1.0,1,2,2,0.0,1,3.0,1,0,2.0,2,1.0,2,2.0,1.0,2,1,2,2,2,2.0,1.0,1,2,2,2,2,1,3.0,3.0,1,0.0,0.4,43,1.1316964285714286,-0.1673310196236373
44,44,44,2,2.0,1,0.0,1,2,2,1,2,1,1,2,1,1,2,2,2,3.0,1,1,0,1,0,0,1,1,1,2,1,1,1,1,2.0,1.0,2,0,2,1,2,2,1,2,2,2,1,0,2,2,1,1,2,2,2,2.0,2,0,3,2,1,0,2.0,1,1,2,1.0,1,1.0,1,1,1.0,2,2.0,2,1.0,2.0,2,2,1,1,1,2.0,2.0,1,1,0,2,1,2,2.0,2.0,2,2.0,0.4,44,1.1241970021413277,-0.2153123673931977
45,45,45,1,1.0,1,0.0,1,1,1,2,2,1,2,2,1,1,1,0,1,1.0,1,1,1,1,1,2,1,2,2,1,2,2,0,2,0.0,2.0,1,0,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,2.0,2,2,2,1,1,1,2.0,0,2,1,2.0,0,1.0,1,0,1.0,1,1.0,1,1.0,2.0,0,1,1,1,1,2.0,1.0,1,2,1,0,1,1,1.0,2.0,2,2.0,0.6,45,1.0887290167865706,-0.2543597363638088
46,46,46,2,2.0,1,2.0,1,1,1,1,1,2,2,2,1,1,1,1,1,1.0,0,0,1,1,2,1,1,1,2,0,1,1,2,1,1.0,2.0,2,2,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2.0,1,1,1,1,0,1,0.0,0,1,1,3.0,1,2.0,1,1,0.0,2,2.0,1,1.0,1.0,0,1,1,2,1,0.0,2.0,2,2,1,2,2,1,1.0,2.0,1,2.0,0.5,46,1.0831099195710456,-0.2966133051917576
47,47,47,2,2.0,1,2.0,1,1,0,0,0,1,1,1,1,1,1,1,1,2.0,2,1,1,1,1,0,2,1,1,2,2,1,1,1,1.0,2.0,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,0,2,2.0,1,1,2,1,1,0,1.0,1,1,1,2.0,1,2.0,2,1,1.0,2,0.0,0,1.0,2.0,1,1,2,1,1,0.0,1.0,2,1,1,1,1,2,2.0,2.0,1,2.0,0.6,47,1.04,-0.2477723970097113
48,48,48,0,1.0,1,2.0,1,2,2,2,1,3,2,2,2,1,1,2,1,1.0,1,1,1,2,1,1,2,2,2,2,1,3,1,1,1.0,2.0,0,1,2,3,2,1,2,2,1,2,1,1,2,2,0,2,2,0,1,2.0,2,1,2,2,2,3,3.0,2,1,1,0.0,1,2.0,2,0,1.0,0,2.0,1,2.0,2.0,1,2,2,1,1,2.0,0.0,2,2,2,1,1,1,1.0,3.0,2,0.0,0.4,48,1.12691466083151,-0.1275447628057213
49,49,49,1,3.0,1,2.0,2,0,2,1,1,2,1,1,0,1,2,1,1,2.0,0,1,1,1,1,2,1,1,2,1,1,1,1,1,1.0,2.0,1,1,0,1,1,1,0,1,0,1,1,0,2,1,1,0,1,2,2,2.0,0,1,1,2,2,2,3.0,2,1,2,2.0,1,2.0,1,1,0.0,1,2.0,1,1.0,1.0,1,1,1,1,2,2.0,2.0,2,2,2,1,1,2,2.0,2.0,2,2.0,0.6,49,1.0671462829736211,-0.382487861400671
50,50,50,1,2.0,0,2.0,0,0,2,2,2,2,1,0,1,2,1,2,1,1.0,2,1,1,2,0,1,2,1,1,1,2,2,2,1,2.0,0.0,1,1,2,1,1,2,1,2,2,1,1,1,2,2,0,1,2,1,1,1.0,1,1,2,2,3,2,2.0,2,1,2,2.0,1,2.0,2,1,1.0,0,0.0,2,1.0,3.0,2,1,1,1,1,2.0,2.0,1,1,2,1,2,2,2.0,3.0,1,2.0,0.4,50,1.1170731707317074,-0.2646820965307832
51,51,51,1,2.0,1,1.0,2,1,2,1,1,1,1,1,1,1,1,1,0,1.0,2,1,1,0,1,1,1,2,2,1,0,1,2,1,1.0,1.0,2,1,2,0,1,2,1,1,1,1,1,1,2,1,1,1,1,2,0,1.0,2,2,2,0,2,1,0.0,1,1,2,1.0,1,2.0,1,2,0.0,2,2.0,1,0.0,,2,2,2,2,2,2.0,1.0,1,2,2,1,1,1,2.0,1.0,1,2.0,0.6,51,1.041237113402062,-0.1362324225961445
52,52,52,1,3.0,2,2.0,2,1,1,1,1,2,1,0,2,0,1,2,2,2.0,1,1,2,2,1,0,2,1,2,1,0,2,2,1,0.0,2.0,2,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,1,3.0,1,2,2,2,2,2,2.0,1,2,2,1.0,1,3.0,2,2,0.0,1,2.0,1,2.0,2.0,2,2,2,1,1,2.0,2.0,1,2,2,1,0,2,2.0,2.0,2,0.0,0.5,52,1.0673316708229426,-0.2295875684942248
