0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,seed,complex_param
,1,0.0,0,1,,0.0,1.0,1.0,1.0,,,1,,1.0,,,,,1,0.0,0.0,,1.0,,1.0,0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,0.0,1.0,,0.0,1.0,1,1.0,,1,1.0,,,1.0,1.0,,1.0,,,0.0,,,1.0,,,1.0,1.0,0.0,1.0,,,,,1.0,1.0,10,5
,1,0.0,1,1,1.0,,1.0,1.0,0.0,1.0,,1,,1.0,,,,,1,1.0,0.0,,1.0,,1.0,0,,,,0.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1,0.0,1.0,1,1.0,,,,1.0,,1.0,0.0,,,1.0,,1.0,,0.0,1.0,,,,,0.0,0.0,,,,11,5
,1,1.0,1,1,,,0.0,0.0,1.0,1.0,1.0,1,,0.0,,,0.0,1.0,1,1.0,,,0.0,,1.0,0,,,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,,0.0,1.0,1,1.0,,1,1.0,1.0,,,1.0,1.0,0.0,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,12,5
,1,1.0,1,0,,,1.0,1.0,1.0,1.0,,1,,0.0,1.0,,,,1,,,,0.0,,1.0,1,1.0,,,,0.0,1.0,0.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1,0.0,,1,1.0,0.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,,0.0,,,0.0,,0.0,1.0,13,5
1.0,1,0.0,1,1,2.0,0.0,1.0,0.0,1.0,1.0,2.0,1,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,2.0,,1.0,1,2.0,,1.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0,1.0,2.0,1,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,,0.0,2.0,0.0,14,5
,1,,1,1,1.0,,1.0,1.0,0.0,1.0,,1,,1.0,,,,0.0,1,,,,1.0,,0.0,1,1.0,1.0,,0.0,,,,,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,,,1.0,1,1.0,,1,1.0,0.0,,1.0,1.0,0.0,1.0,,0.0,,1.0,,,,,1.0,,,,,,,,,,15,5
,1,0.0,1,1,0.0,,1.0,1.0,1.0,1.0,1.0,1,,1.0,,,,1.0,1,,1.0,,1.0,,1.0,1,0.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,,1.0,1,0.0,,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,1.0,,,,,,,,0.0,1.0,16,5
2.0,2,2.0,1,2,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1,2.0,0.0,2.0,0.0,2.0,0.0,1,2.0,1.0,2.0,1.0,,2.0,1,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,1.0,1,1.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,,2.0,,2.0,17,5
2.0,1,1.0,1,1,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2,2.0,1.0,2.0,0.0,2.0,2.0,1,2.0,2.0,2.0,2.0,,1.0,1,2.0,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2,1.0,0.0,1,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,,2.0,0.0,1.0,18,5
,0,1.0,1,1,,0.0,1.0,1.0,1.0,1.0,,1,0.0,0.0,,,1.0,1.0,1,,,1.0,1.0,,1.0,0,,,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,0,0.0,,1,1.0,1.0,,1.0,1.0,1.0,,0.0,,0.0,,0.0,1.0,,,1.0,,,,,,,,,1.0,19,5
0.0,1,1.0,1,1,0.0,2.0,2.0,1.0,1.0,1.0,2.0,0,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,0.0,1.0,2.0,2.0,1.0,2,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,1.0,0.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,20,5
1.0,1,1.0,0,1,,,1.0,1.0,1.0,0.0,,1,0.0,0.0,1.0,,1.0,1.0,0,,,,0.0,0.0,1.0,1,,,,1.0,,0.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0,,1.0,1,1.0,1.0,1,1.0,1.0,,,1.0,,1.0,0.0,,,,,,1.0,,1.0,,,,,,,,,,21,5
2.0,1,1.0,1,1,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1,2.0,1.0,0.0,0.0,1.0,2.0,1,2.0,2.0,1.0,1.0,2.0,2.0,1,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1,1.0,0.0,1,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,22,5
,1,1.0,1,0,,,1.0,0.0,0.0,1.0,,1,,1.0,,,,,1,0.0,,,0.0,,1.0,1,,,,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0,1.0,1.0,1,1.0,,,1.0,1.0,,,1.0,0.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,1.0,0.0,23,5
,1,,1,1,,,1.0,1.0,1.0,,,1,,1.0,,0.0,,,1,,,1.0,0.0,0.0,1.0,1,,,0.0,1.0,1.0,,,,,0.0,0.0,,1.0,1.0,1.0,1.0,,,,1,1.0,1.0,1,1.0,,,1.0,1.0,,0.0,0.0,,,1.0,,,,1.0,0.0,,,,,,,,,0.0,24,5
0.0,1,1.0,1,1,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1,0.0,1.0,2.0,,2.0,1.0,1,2.0,2.0,2.0,2.0,,1.0,1,2.0,,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2,1.0,2.0,1,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,25,5
,1,0.0,0,0,1.0,,1.0,1.0,1.0,1.0,1.0,1,,1.0,,,1.0,1.0,1,1.0,1.0,1.0,1.0,,1.0,0,,,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,,0.0,0.0,1.0,1.0,,,1.0,1,1.0,1.0,1,1.0,1.0,,1.0,0.0,1.0,1.0,,1.0,0.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,26,5
2.0,1,2.0,1,1,2.0,0.0,2.0,2.0,1.0,2.0,2.0,1,2.0,0.0,2.0,2.0,2.0,0.0,1,1.0,2.0,0.0,2.0,,2.0,1,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1,1.0,2.0,1,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,,2.0,2.0,2.0,27,5
0.0,1,1.0,1,1,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1,0.0,1.0,2.0,2.0,2.0,2.0,0,2.0,1.0,2.0,1.0,,1.0,1,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1.0,2.0,1,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,28,5
,1,1.0,1,1,,,0.0,1.0,0.0,1.0,,1,,1.0,1.0,1.0,1.0,1.0,1,1.0,,,1.0,,1.0,1,,,,1.0,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,,0.0,1.0,1,1.0,0.0,0,1.0,,,0.0,1.0,1.0,1.0,,,1.0,,,1.0,0.0,,1.0,1.0,,,,,,,,0.0,29,5
,1,1.0,1,1,1.0,,1.0,1.0,1.0,0.0,,1,,1.0,,,,,1,0.0,1.0,,1.0,,0.0,1,,,,0.0,1.0,1.0,,0.0,,,1.0,,1.0,1.0,1.0,0.0,,,1.0,1,0.0,,1,1.0,1.0,,1.0,1.0,,1.0,,,0.0,,,,,1.0,1.0,,0.0,,,,,,0.0,1.0,30,5
0.0,1,1.0,1,1,,,0.0,,1.0,1.0,,1,,0.0,,,0.0,1.0,1,,,,1.0,,1.0,1,1.0,,0.0,0.0,,,1.0,1.0,,,0.0,,1.0,,1.0,1.0,,,1.0,1,1.0,,1,1.0,0.0,,,1.0,1.0,,,,,,0.0,1.0,,,1.0,,,,0.0,,,,,,31,5
,0,1.0,1,1,,,0.0,0.0,1.0,1.0,1.0,0,,1.0,,,,1.0,1,1.0,0.0,,0.0,,0.0,1,1.0,,,1.0,0.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,0.0,1,1.0,,1,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,32,5
0.0,1,0.0,1,2,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1,1.0,2.0,2.0,2.0,2.0,2.0,1,2.0,2.0,2.0,1.0,2.0,2.0,2,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,1,1.0,2.0,1,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,,,2.0,33,5
0.0,0,1.0,0,1,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1,2.0,1.0,0.0,2.0,0.0,2.0,1,2.0,2.0,2.0,1.0,,1.0,1,2.0,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1,1.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,34,5
,1,1.0,1,1,,,1.0,0.0,1.0,1.0,,1,,,,,,,1,,,,0.0,,1.0,1,,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,0,1.0,0.0,0,1.0,,,,1.0,,,,0.0,,,,0.0,1.0,,1.0,,,,,,0.0,,,1.0,35,5
2.0,1,0.0,1,1,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1,2.0,1.0,0.0,2.0,2.0,2.0,1,2.0,2.0,2.0,0.0,2.0,2.0,1,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,2.0,1,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,36,5
,1,1.0,1,1,0.0,,1.0,1.0,0.0,1.0,,1,,1.0,,0.0,,0.0,1,,,,0.0,,1.0,1,,,,1.0,,1.0,,,,,1.0,,0.0,0.0,1.0,1.0,,0.0,,1,1.0,1.0,1,1.0,,,1.0,1.0,,0.0,,,,0.0,,1.0,,,1.0,1.0,1.0,,,,,,,1.0,37,5
2.0,1,2.0,1,1,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1,2.0,1.0,2.0,2.0,2.0,2.0,1,2.0,2.0,0.0,2.0,0.0,1.0,1,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1,1.0,0.0,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,1.0,38,5
2.0,1,1.0,1,1,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1,2.0,1.0,0.0,2.0,2.0,2.0,1,2.0,0.0,0.0,2.0,,1.0,1,0.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1,1.0,2.0,1,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,39,5
,1,,1,1,1.0,,1.0,1.0,1.0,1.0,,1,,1.0,1.0,,0.0,1.0,1,0.0,,,1.0,0.0,0.0,0,,,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,0.0,,1.0,1.0,1,0.0,,1,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,0.0,0.0,1.0,,1.0,1.0,,,,,,,,,,40,5
,1,0.0,1,1,,,1.0,1.0,1.0,1.0,,1,,1.0,,,,0.0,1,,1.0,,1.0,,0.0,1,0.0,,0.0,1.0,1.0,0.0,1.0,,,,0.0,,1.0,,1.0,0.0,,,1.0,1,1.0,,1,1.0,,,,1.0,,1.0,,,1.0,0.0,,,,1.0,1.0,,,1.0,0.0,,,,,,41,5
0.0,1,1.0,1,0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0,2.0,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,2.0,1.0,2.0,1.0,1,2.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1,2.0,1.0,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,42,5
0.0,1,1.0,1,1,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1,0.0,1.0,0.0,2.0,2.0,2.0,1,2.0,2.0,2.0,0.0,,1.0,1,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2,1.0,2.0,1,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,,,2.0,2.0,43,5
,1,1.0,1,0,,,0.0,1.0,1.0,1.0,1.0,1,,1.0,,,,,1,1.0,,,1.0,,1.0,1,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,,,1.0,1,1.0,,1,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,1.0,,,0.0,0.0,1.0,0.0,,,,,,,0.0,,0.0,44,5
1.0,1,0.0,1,1,1.0,,1.0,1.0,1.0,0.0,,1,,1.0,1.0,,,1.0,0,,1.0,,1.0,,1.0,1,,,,1.0,1.0,1.0,,1.0,,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,,1.0,1,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,1.0,,,,,,1.0,,1.0,1.0,,,1.0,,0.0,1.0,45,5
,1,1.0,1,1,,,1.0,1.0,1.0,0.0,0.0,1,,1.0,,,1.0,,1,1.0,0.0,,1.0,,0.0,1,,,,1.0,,1.0,,,0.0,,1.0,,0.0,,1.0,0.0,,,1.0,0,1.0,,1,1.0,1.0,,1.0,1.0,,1.0,,,,,,,0.0,,1.0,,0.0,,,,,,,1.0,46,5
,1,,1,1,0.0,,1.0,1.0,1.0,1.0,,1,,0.0,,1.0,,0.0,1,0.0,,,,,1.0,1,,,0.0,1.0,,1.0,1.0,,,,1.0,,0.0,1.0,1.0,1.0,,,1.0,1,1.0,,1,1.0,,,,0.0,,1.0,0.0,,,1.0,,,,,1.0,,0.0,0.0,,,,,,,47,5
2.0,1,1.0,1,1,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1,2.0,0.0,1.0,2.0,0.0,2.0,1,2.0,2.0,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,1.0,1,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,48,5
,1,1.0,1,1,1.0,,1.0,,1.0,1.0,0.0,1,,1.0,1.0,,,1.0,0,,1.0,,1.0,,1.0,1,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,1.0,,1,0.0,,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,,1.0,0.0,,1.0,,,1.0,,,1.0,,,,,,,49,5
2.0,1,1.0,1,1,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1,2.0,1.0,2.0,0.0,0.0,0.0,1,2.0,1.0,2.0,2.0,,0.0,1,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0,1.0,2.0,1,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,1.0,2.0,50,5
0.0,1,1.0,1,1,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1,2.0,1.0,0.0,2.0,2.0,2.0,1,2.0,2.0,0.0,1.0,2.0,1.0,0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1,1.0,1.0,0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,51,5
,1,0.0,0,1,1.0,,1.0,0.0,1.0,1.0,,1,,1.0,1.0,1.0,,1.0,0,1.0,1.0,,1.0,,1.0,1,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,1.0,52,5
0.0,1,1.0,0,0,1.0,,0.0,1.0,1.0,1.0,,1,,1.0,0.0,,0.0,,0,1.0,1.0,,1.0,,1.0,1,,,,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1,1.0,1.0,0,0.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,1.0,53,5
0.0,1,1.0,1,1,1.0,,1.0,1.0,1.0,0.0,,1,,1.0,,,,1.0,1,1.0,,,1.0,,1.0,1,,,,1.0,1.0,,,0.0,,,0.0,,1.0,1.0,1.0,0.0,1.0,,1.0,1,1.0,,0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,,,,,1.0,,,,,54,5
2.0,1,2.0,1,0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1,2.0,1.0,0.0,2.0,0.0,2.0,0,2.0,2.0,2.0,1.0,2.0,1.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1,1.0,2.0,1,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,55,5
,1,1.0,1,0,,1.0,0.0,1.0,0.0,1.0,1.0,1,,1.0,1.0,,1.0,,1,1.0,0.0,,0.0,,1.0,1,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,1,1.0,,0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,0.0,,,,,,,1.0,56,5
,1,1.0,1,1,,,1.0,0.0,1.0,1.0,,1,,1.0,,,0.0,,1,1.0,,,,,1.0,1,,,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0,,0.0,1.0,1.0,1.0,,,0.0,0,1.0,,1,1.0,1.0,,1.0,1.0,0.0,1.0,,,1.0,,,0.0,1.0,,0.0,,,,0.0,1.0,,,,,57,5
2.0,1,2.0,1,1,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1,2.0,1.0,0.0,0.0,0.0,2.0,1,2.0,2.0,2.0,2.0,1.0,2.0,1,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,58,5
,1,1.0,1,1,,,0.0,1.0,1.0,1.0,,1,0.0,1.0,0.0,,,,0,1.0,,,1.0,0.0,1.0,1,,,,,1.0,,1.0,,,0.0,,,1.0,1.0,1.0,1.0,,,,1,1.0,1.0,1,1.0,0.0,,1.0,1.0,,0.0,,,,,,,,,1.0,0.0,,,0.0,,,,,,59,5
1.0,1,1.0,1,1,,,,1.0,1.0,1.0,,1,0.0,1.0,,,,1.0,0,,,,0.0,0.0,1.0,1,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,0.0,1.0,,1.0,1.0,0,1.0,0.0,1,1.0,,0.0,1.0,1.0,,1.0,,,,,0.0,1.0,,,1.0,,,,,,,,,0.0,60,5
