0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
2,0,2,3,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,0,2,1,0,2,2,2,2,2,1,2,3,2,1,2,3,1,2,2,1,2,2,2,2,2,1,1,2,0,3,3,3,1,2,3,0,2,1,2,1,2,2,2,0,0,1,2,2,2,3,2,0,3,2,0,2,1,2,2,2,2,2,2,2,0,1,2,3,2,3,49,3,1.2157772621809744,-0.3993806380464956
2,3,2,3,2,1,1,1,2,2,2,2,2,1,2,1,0,0,0,1,1,0,2,1,1,2,2,2,2,2,2,1,2,2,2,2,3,3,2,1,0,1,2,1,1,1,2,2,1,2,2,2,2,3,1,2,2,0,0,1,2,2,1,2,2,1,3,2,1,2,1,2,0,3,2,0,2,2,2,2,2,1,0,2,2,2,2,2,2,3,2,3,50,3,1.1791044776119404,-0.5162154390663967
3,3,0,2,0,1,1,2,1,2,1,2,2,1,2,1,1,1,1,0,1,2,2,1,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,0,2,2,2,1,1,2,1,1,2,2,2,2,1,2,2,2,2,1,2,0,0,3,2,1,3,0,0,2,2,2,1,1,1,1,1,3,0,1,2,2,2,0,1,2,2,2,2,51,3,1.139908256880734,-0.4474648539065742
2,3,0,3,2,1,1,1,0,2,1,2,2,2,2,2,2,3,2,0,1,2,1,1,0,1,2,1,1,0,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,2,0,1,1,2,2,3,2,0,2,1,2,2,2,2,1,2,3,1,0,2,2,2,2,3,1,0,0,2,2,2,2,2,2,3,1,2,1,1,2,2,2,3,3,3,52,3,1.1884368308351179,-0.40139236301062514
3,3,1,0,1,2,1,2,1,2,2,2,1,1,2,1,1,2,2,0,1,2,2,1,2,2,2,1,0,2,2,2,3,2,1,2,2,2,1,1,2,1,0,1,1,2,2,2,2,2,2,2,2,0,1,2,0,1,2,2,2,2,0,2,2,0,3,1,1,3,2,0,0,2,3,2,1,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,53,3,1.193058568329718,-0.4329006549739516
0,2,3,4,3,2,2,2,3,2,2,1,2,3,2,1,1,2,2,2,2,1,0,2,1,2,2,3,3,2,2,1,1,3,2,2,3,2,2,2,2,0,0,3,2,2,2,1,1,2,2,3,3,4,2,1,3,2,2,1,2,0,1,2,3,1,2,1,2,2,0,0,2,3,3,2,1,2,2,1,0,2,2,0,0,2,2,2,3,3,2,2,54,3,1.2054507337526206,-0.23940751381532163
2,3,1,2,1,0,0,2,2,0,1,2,1,1,0,1,1,2,2,1,0,2,0,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,3,2,1,2,2,1,2,1,1,3,1,2,2,2,3,1,2,1,0,0,2,1,0,2,1,2,2,1,2,2,2,2,55,3,1.1670533642691416,-0.5718559651345444
3,3,0,2,0,1,1,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,0,2,2,1,2,1,2,2,1,1,0,2,0,1,1,1,2,1,2,2,2,0,2,2,2,3,0,1,2,2,1,2,2,1,3,0,2,3,2,3,2,2,1,1,1,2,2,0,2,2,2,1,2,2,0,2,2,56,3,1.145374449339207,-0.5300040590526688
2,3,1,0,1,1,2,0,2,2,2,2,2,1,2,1,1,0,2,1,0,1,2,2,2,2,3,1,2,2,1,2,2,2,2,1,2,2,1,1,1,0,2,1,1,1,1,0,1,1,1,2,0,2,1,2,2,2,2,2,3,2,1,2,2,1,2,2,2,2,1,2,2,2,2,0,1,0,2,1,2,1,0,2,2,2,2,2,2,3,2,2,57,3,1.1497797356828194,-0.5485434253483394
2,3,1,3,2,1,1,1,0,2,2,2,1,1,1,2,0,0,2,1,0,2,2,2,3,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,1,2,1,1,1,0,2,2,1,2,2,2,2,0,2,2,2,3,3,3,3,2,2,2,2,1,3,2,1,2,1,2,1,2,2,0,1,2,2,1,3,1,2,1,3,2,2,0,2,3,0,2,58,3,1.1834451901565997,-0.41575645066744354
