0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,complex_param,EPH,corr
2.0,4.0,1,0.0,2,3,2,3,2,2,0,3.0,3,0,3,2,3,4.0,3.0,0,1,0,3.0,3.0,4.0,3.0,4.0,2,1.0,3,2,3,3.0,3.0,1,2,3.0,3.0,2,2,2,3,0.0,2,2,2,3,3,2,0,3,3.0,2.0,3.0,0,3,3.0,3.0,3.0,3.0,4.0,3,2,3,3.0,2,4.0,3,3,0.0,3,4.0,3.0,3.0,,4.0,3,2,0,3,4.0,4.0,1,4.0,3.0,2.0,3,4,3.0,,4.0,,21,5,1.548828125,-0.4748464795463572
5.0,,3,,4,2,3,4,4,4,4,5.0,3,4,3,3,2,4.0,4.0,2,2,5,4.0,1.0,5.0,4.0,4.0,3,4.0,4,4,4,5.0,0.0,3,3,1.0,4.0,3,4,3,4,0.0,0,3,3,5,5,3,4,4,5.0,4.0,5.0,5,1,0.0,0.0,5.0,4.0,1.0,4,4,4,5.0,3,,4,4,0.0,0,5.0,4.0,4.0,0.0,3.0,4,4,4,3,5.0,0.0,4,5.0,5.0,4.0,4,3,4.0,,4.0,0.0,22,5,1.8244972577696525,-0.18432820569417965
,,3,0.0,3,2,3,3,3,0,3,3.0,3,3,2,1,4,4.0,3.0,2,3,2,4.0,,0.0,4.0,,0,4.0,0,3,3,4.0,4.0,3,3,4.0,4.0,3,2,3,1,4.0,4,3,3,2,0,4,4,2,4.0,4.0,,2,4,4.0,1.0,0.0,1.0,2.0,0,1,2,4.0,1,3.0,0,3,3.0,3,4.0,4.0,4.0,0.0,3.0,3,3,2,2,2.0,4.0,1,4.0,1.0,3.0,4,3,4.0,,4.0,,23,5,1.5749063670411985,-0.30110350417228404
4.0,3.0,2,3.0,3,3,3,3,3,3,2,2.0,3,3,3,2,4,,4.0,3,0,1,3.0,3.0,4.0,2.0,4.0,2,3.0,0,4,3,4.0,4.0,1,3,4.0,0.0,3,4,3,3,3.0,3,1,3,3,4,0,3,3,4.0,4.0,,3,4,0.0,4.0,4.0,4.0,,0,3,3,,3,4.0,2,4,4.0,4,4.0,0.0,4.0,0.0,4.0,4,4,4,1,4.0,,2,4.0,3.0,3.0,0,3,4.0,0.0,,,24,5,1.7522935779816515,-0.30849823886438615
0.0,3.0,3,,2,2,0,3,4,3,3,4.0,3,2,3,2,2,2.0,3.0,2,2,3,1.0,4.0,3.0,4.0,4.0,3,3.0,2,3,4,4.0,4.0,3,0,4.0,4.0,2,1,3,2,3.0,3,3,3,0,2,3,3,3,3.0,0.0,4.0,2,3,4.0,3.0,0.0,3.0,4.0,3,1,0,1.0,1,4.0,0,2,4.0,0,4.0,4.0,4.0,,3.0,3,3,2,1,3.0,3.0,0,4.0,2.0,3.0,3,2,4.0,,3.0,,25,5,1.6771217712177124,-0.5146940094318381
3.0,,1,,2,0,1,3,0,3,2,3.0,2,2,1,2,2,3.0,0.0,1,0,3,3.0,1.0,,3.0,2.0,1,1.0,2,3,0,3.0,3.0,0,1,3.0,2.0,2,2,1,3,1.0,0,2,2,3,3,1,1,3,2.0,2.0,3.0,3,2,3.0,3.0,,3.0,,3,2,0,3.0,2,,3,2,2.0,2,,2.0,2.0,,3.0,3,2,3,1,,3.0,1,3.0,3.0,0.0,0,2,3.0,,3.0,,26,5,1.4379699248120301,-0.3750828666038258
3.0,,2,,3,2,3,2,3,3,3,3.0,2,3,2,1,2,3.0,0.0,1,2,1,0.0,3.0,2.0,3.0,,0,3.0,2,0,3,,,2,2,3.0,,3,2,3,0,3.0,3,3,0,2,2,3,3,0,3.0,3.0,,2,1,3.0,2.0,0.0,2.0,3.0,2,1,2,0.0,1,3.0,1,1,,2,3.0,3.0,,,3.0,2,2,2,1,2.0,2.0,2,2.0,2.0,,3,0,3.0,,3.0,,27,5,1.4927007299270072,-0.36066301391820493
4.0,,3,,3,2,0,3,3,2,3,4.0,2,3,0,1,2,3.0,3.0,2,2,0,4.0,4.0,2.0,3.0,4.0,3,4.0,2,0,3,3.0,4.0,3,3,4.0,4.0,3,2,0,2,3.0,3,3,2,2,2,2,4,2,4.0,4.0,,2,3,3.0,0.0,0.0,2.0,3.0,2,1,3,4.0,1,0.0,0,2,4.0,2,2.0,3.0,4.0,,2.0,2,2,2,2,3.0,1.0,2,0.0,2.0,4.0,3,1,4.0,,3.0,,28,5,1.5689655172413792,-0.42834132420190707
4.0,,2,,3,0,3,3,1,3,0,3.0,2,3,3,1,2,3.0,3.0,0,2,3,3.0,3.0,3.0,4.0,2.0,1,2.0,3,2,3,4.0,4.0,2,2,3.0,0.0,3,2,2,0,0.0,3,2,3,2,3,3,3,2,3.0,3.0,4.0,3,3,3.0,3.0,3.0,3.0,4.0,3,2,0,4.0,1,4.0,2,2,4.0,0,3.0,2.0,0.0,,2.0,2,2,3,1,3.0,2.0,2,4.0,3.0,2.0,3,1,3.0,,0.0,,29,5,1.5567970204841717,-0.46060502426846145
0.0,4.0,3,,3,2,2,3,0,3,4,3.0,3,3,3,2,2,3.0,3.0,1,3,0,3.0,4.0,0.0,4.0,3.0,4,4.0,3,2,3,4.0,4.0,0,3,4.0,4.0,4,3,3,2,3.0,3,3,3,3,2,3,3,2,4.0,4.0,,2,2,4.0,2.0,2.0,0.0,2.0,1,2,3,4.0,1,3.0,0,3,3.0,0,3.0,0.0,4.0,,1.0,2,3,3,2,3.0,0.0,3,2.0,2.0,2.0,3,2,4.0,,3.0,,30,5,1.621973929236499,-0.33757377612524053
0.0,,1,,3,3,3,0,0,4,3,4.0,3,3,3,3,2,3.0,4.0,1,2,4,3.0,3.0,4.0,4.0,4.0,2,3.0,4,3,3,4.0,3.0,0,3,0.0,3.0,3,3,3,4,1.0,2,2,0,4,3,2,3,0,0.0,3.0,0.0,3,4,2.0,4.0,4.0,4.0,,3,3,4,4.0,2,,2,3,4.0,4,0.0,4.0,2.0,,4.0,3,3,4,3,,4.0,3,4.0,4.0,3.0,1,3,3.0,1.0,4.0,,31,5,1.702290076335878,-0.2234796389475107
4.0,,0,,2,2,2,3,2,4,2,3.0,2,0,3,3,2,4.0,4.0,2,1,3,3.0,3.0,,3.0,3.0,0,2.0,3,3,3,3.0,3.0,2,2,0.0,4.0,2,3,0,4,3.0,1,1,2,4,4,0,3,3,3.0,2.0,4.0,2,3,3.0,4.0,4.0,4.0,,4,3,4,3.0,3,,4,2,4.0,0,4.0,0.0,3.0,,3.0,3,2,2,0,4.0,1.0,1,2.0,4.0,2.0,3,3,3.0,0.0,2.0,,32,5,1.6311926605504588,-0.39445703630849954
,,0,,0,2,0,2,2,2,1,3.0,2,1,3,3,2,3.0,3.0,1,1,3,3.0,,3.0,3.0,3.0,0,2.0,3,3,3,3.0,3.0,2,2,3.0,,2,2,2,2,3.0,2,2,2,2,0,2,2,2,3.0,3.0,,1,0,3.0,3.0,3.0,3.0,,3,2,3,3.0,1,,2,2,,3,,3.0,3.0,,,0,2,3,0,3.0,3.0,2,0.0,3.0,3.0,3,2,3.0,,3.0,0.0,33,5,1.5524344569288389,-0.5548156526634047
,,2,,0,1,2,2,1,3,0,2.0,2,1,3,0,2,3.0,3.0,1,1,2,3.0,3.0,3.0,3.0,3.0,2,2.0,3,2,3,3.0,3.0,1,2,3.0,3.0,2,2,0,2,2.0,2,1,0,3,2,1,0,2,3.0,2.0,3.0,3,2,3.0,3.0,3.0,3.0,,0,2,3,2.0,0,,3,2,,3,3.0,3.0,3.0,,,2,1,2,2,3.0,3.0,1,3.0,3.0,2.0,3,3,0.0,,3.0,0.0,34,5,1.4907063197026023,-0.5362971281014816
3.0,4.0,3,,3,2,3,1,3,3,3,2.0,3,3,3,2,2,3.0,3.0,1,3,2,0.0,4.0,3.0,0.0,4.0,4,4.0,3,1,3,4.0,4.0,2,0,4.0,4.0,3,2,3,2,3.0,3,3,2,3,1,3,0,3,2.0,4.0,4.0,0,2,4.0,3.0,1.0,3.0,4.0,3,2,3,4.0,0,3.0,2,2,3.0,3,3.0,3.0,2.0,,0.0,0,2,2,3,3.0,2.0,3,3.0,0.0,4.0,4,2,4.0,,0.0,,35,5,1.6623376623376624,-0.42487101890072787
3.0,4.0,0,0.0,3,3,3,2,4,1,3,3.0,0,3,3,1,2,4.0,3.0,2,2,3,1.0,2.0,2.0,3.0,4.0,3,4.0,3,4,3,4.0,4.0,2,0,3.0,2.0,3,3,3,2,3.0,3,3,3,2,2,0,3,0,3.0,4.0,4.0,3,2,3.0,3.0,3.0,0.0,4.0,3,2,3,4.0,1,4.0,2,3,0.0,4,,3.0,4.0,,4.0,3,3,4,3,0.0,4.0,3,3.0,3.0,4.0,3,3,4.0,0.0,4.0,,36,5,1.6571428571428573,-0.3644847751699807
,,2,,2,0,1,3,2,3,3,3.0,2,2,3,1,2,3.0,3.0,1,2,3,3.0,3.0,2.0,2.0,3.0,3,3.0,3,3,3,3.0,3.0,3,3,3.0,,2,2,0,2,3.0,2,1,3,3,3,2,2,2,3.0,3.0,,3,3,0.0,0.0,2.0,2.0,0.0,0,2,3,,1,,3,3,,2,,0.0,,,3.0,2,1,2,3,,0.0,0,3.0,3.0,3.0,3,2,0.0,,3.0,,37,5,1.5205223880597014,-0.290946656173255
3.0,4.0,3,,3,2,2,2,3,2,3,3.0,3,2,0,2,0,3.0,3.0,2,2,2,0.0,3.0,0.0,3.0,4.0,3,3.0,2,3,3,3.0,4.0,3,3,3.0,4.0,2,1,0,2,2.0,3,3,1,2,1,3,4,0,4.0,3.0,4.0,1,3,3.0,2.0,0.0,1.0,3.0,2,1,2,0.0,1,0.0,2,2,4.0,3,4.0,2.0,4.0,2.0,3.0,3,2,2,2,0.0,1.0,3,3.0,2.0,4.0,3,2,4.0,,3.0,,38,5,1.501945525291829,-0.38915561784317537
4.0,,3,,3,3,3,3,3,2,3,3.0,3,3,3,1,2,4.0,3.0,2,3,3,0.0,4.0,0.0,2.0,4.0,3,0.0,0,3,3,0.0,4.0,2,3,4.0,4.0,3,0,2,2,0.0,3,2,3,3,2,3,3,0,3.0,4.0,4.0,2,3,4.0,1.0,2.0,2.0,3.0,0,2,2,4.0,1,3.0,1,0,4.0,3,4.0,3.0,4.0,,4.0,3,3,3,2,2.0,4.0,3,3.0,2.0,4.0,4,3,4.0,,4.0,,39,5,1.6446601941747574,-0.4861685340389248
4.0,,3,,3,1,3,2,4,3,4,3.0,3,2,3,2,3,0.0,3.0,2,3,3,4.0,4.0,2.0,4.0,4.0,4,4.0,3,2,3,0.0,4.0,3,2,1.0,,0,2,3,2,4.0,3,3,3,3,2,4,4,1,4.0,4.0,,0,4,4.0,3.0,1.0,2.0,3.0,0,2,3,0.0,1,4.0,0,2,1.0,2,3.0,4.0,,,2.0,2,0,2,0,3.0,2.0,3,4.0,3.0,4.0,4,2,0.0,,1.0,,40,5,1.6742424242424245,-0.21966343202368183
4.0,,2,,2,2,0,3,3,3,2,3.0,2,1,2,2,2,3.0,3.0,1,2,2,4.0,4.0,0.0,0.0,4.0,0,3.0,3,2,3,4.0,3.0,3,2,3.0,4.0,2,2,2,2,3.0,2,2,3,3,3,3,3,2,3.0,3.0,4.0,0,3,3.0,2.0,2.0,2.0,3.0,2,1,3,3.0,1,3.0,1,0,4.0,3,3.0,4.0,4.0,,3.0,0,2,2,2,3.0,3.0,0,4.0,0.0,3.0,3,2,3.0,,1.0,0.0,41,5,1.5676691729323309,-0.5298485194831146
0.0,4.0,2,,1,2,1,2,2,3,0,1.0,2,2,3,1,1,2.0,3.0,2,2,2,0.0,3.0,3.0,2.0,0.0,2,3.0,2,3,1,1.0,2.0,3,3,3.0,3.0,3,0,0,3,2.0,2,0,3,2,3,1,2,2,3.0,3.0,4.0,1,0,3.0,3.0,3.0,3.0,4.0,2,3,3,4.0,2,4.0,0,3,2.0,4,4.0,0.0,3.0,,4.0,3,3,3,3,4.0,4.0,2,2.0,3.0,3.0,3,3,3.0,,4.0,,42,5,1.4952919020715634,-0.45196010194618036
3.0,,0,2.0,3,1,2,2,3,0,2,0.0,2,2,3,0,1,3.0,3.0,2,2,3,1.0,3.0,3.0,2.0,3.0,3,3.0,2,3,2,3.0,3.0,3,3,,3.0,2,2,1,2,3.0,2,2,0,3,2,1,3,3,3.0,3.0,,3,3,3.0,3.0,3.0,3.0,,3,0,0,,1,,2,2,3.0,2,,2.0,0.0,,2.0,3,2,0,2,3.0,3.0,2,0.0,3.0,3.0,3,2,2.0,,3.0,,43,5,1.5716981132075472,-0.45105470010045384
4.0,,2,,3,3,3,0,3,3,2,2.0,3,2,3,3,2,4.0,4.0,2,1,4,3.0,1.0,0.0,3.0,1.0,3,3.0,4,3,3,4.0,0.0,3,3,4.0,4.0,3,4,3,3,3.0,2,3,2,3,3,2,3,3,3.0,3.0,0.0,3,4,4.0,3.0,3.0,4.0,4.0,3,0,4,0.0,2,,2,3,4.0,4,4.0,0.0,4.0,,4.0,1,3,0,2,4.0,3.0,3,3.0,4.0,0.0,4,3,4.0,,4.0,0.0,44,5,1.6512059369202226,-0.35788969997968073
0.0,0.0,0,,4,4,3,4,5,5,4,4.0,4,4,5,4,4,,5.0,4,4,5,5.0,5.0,5.0,5.0,5.0,5,5.0,0,5,5,4.0,5.0,4,4,3.0,,0,3,3,4,5.0,4,2,4,4,4,1,5,5,0.0,5.0,5.0,3,4,5.0,3.0,4.0,5.0,,5,0,2,,3,,4,4,0.0,5,0.0,5.0,,,,5,4,4,3,5.0,5.0,3,5.0,5.0,5.0,4,5,5.0,,5.0,0.0,45,5,1.9724770642201834,-0.27793614403650024
3.0,,1,,2,2,1,3,2,3,0,0.0,3,0,2,2,2,,1.0,2,0,3,2.0,3.0,3.0,3.0,2.0,2,2.0,0,3,3,3.0,3.0,2,2,3.0,0.0,2,3,2,3,3.0,2,1,2,2,3,1,2,3,3.0,3.0,,2,3,3.0,3.0,3.0,3.0,,2,2,1,,2,,0,0,,3,,3.0,3.0,,3.0,3,3,2,1,,3.0,1,0.0,3.0,3.0,3,0,3.0,3.0,3.0,,46,5,1.5822550831792976,-0.4916502538047732
3.0,,1,,2,1,2,2,2,3,2,3.0,2,1,0,1,1,2.0,3.0,2,2,3,3.0,3.0,3.0,3.0,3.0,1,3.0,2,2,1,0.0,2.0,3,2,3.0,,0,2,0,2,3.0,2,0,2,0,1,2,3,2,3.0,3.0,,2,3,2.0,3.0,3.0,2.0,,2,1,2,3.0,1,,2,0,3.0,0,3.0,3.0,3.0,,2.0,2,0,2,1,3.0,0.0,2,3.0,3.0,3.0,3,2,1.0,,2.0,,47,5,1.4444444444444444,-0.5260777050092481
