0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,seed,simple_param,EPH,corr
5.0,,0.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,0.0,3.0,3.0,4,3.0,6.0,4.0,3,2.0,7.0,2.0,7.0,,1.0,4.0,3.0,4.0,,6.0,5.0,3.0,3.0,6.0,0.0,,7.0,1.0,5.0,4.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,0.0,1.0,1.0,4.0,3.0,,0.0,5.0,4.0,5.0,5.0,0.0,,7.0,2,6.0,4.0,5,,5.0,2.0,7.0,4.0,3.0,5.0,0.0,,4.0,5.0,5.0,7.0,0.0,7.0,5.0,3.0,0.0,,4.0,2.0,3.0,0.0,,6.0,6.0,20,0.05,2.8132911392405062,-0.27026205519637947
,,3.0,0.0,4.0,5.0,3.0,2.0,1.0,6.0,0.0,3.0,4.0,0.0,5.0,3,4.0,,6.0,0,1.0,0.0,7.0,4.0,3.0,1.0,7.0,3.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,7.0,2.0,4.0,0.0,1.0,4.0,2.0,4.0,3.0,3.0,0.0,7.0,5.0,5.0,6.0,0.0,3.0,7.0,2.0,2.0,2.0,3.0,4.0,3,7.0,7.0,2,5.0,1.0,1.0,0.0,5.0,3.0,3.0,5.0,7.0,4.0,4.0,3.0,0.0,4.0,6.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,,,,7.0,21,0.05,2.6762360446570974,-0.320741809264359
4.0,3.0,3.0,4.0,4.0,5.0,4.0,,3.0,1.0,5.0,,5.0,5.0,3.0,1,4.0,6.0,,1,4.0,5.0,6.0,2.0,2.0,6.0,,1.0,3.0,2.0,1.0,6.0,3.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,4.0,,4.0,,4.0,,5.0,,3.0,5.0,0.0,0.0,2.0,4.0,1.0,2.0,4,3.0,4.0,1,,1.0,4.0,0.0,0.0,3.0,6.0,3.0,0.0,4.0,4.0,5.0,2.0,4.0,4.0,0.0,6.0,4.0,2.0,4.0,,3.0,6.0,6.0,1.0,0.0,22,0.05,2.538341158059468,0.029285671091537926
,5.0,3.0,0.0,4.0,3.0,4.0,4.0,2.0,0.0,3.0,,4.0,2.0,6.0,6,4.0,,5.0,4,2.0,3.0,6.0,,0.0,6.0,3.0,0.0,3.0,0.0,5.0,,6.0,5.0,2.0,3.0,6.0,4.0,3.0,2.0,4.0,2.0,6.0,2.0,3.0,5.0,6.0,0.0,4.0,5.0,3.0,5.0,,6.0,2.0,5.0,,3.0,0.0,5.0,3.0,0.0,3,5.0,,1,6.0,0.0,4.0,,4.0,8.0,3.0,8.0,0.0,3.0,4.0,5.0,3.0,2.0,1.0,8.0,5.0,8.0,7.0,4.0,4.0,5.0,5.0,8.0,5.0,,23,0.05,2.8979266347687402,-0.3595932641918108
1.0,3.0,6.0,,6.0,3.0,1.0,5.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2,6.0,,3.0,2,0.0,3.0,3.0,,2.0,4.0,,1.0,2.0,0.0,5.0,5.0,6.0,4.0,1.0,3.0,3.0,0.0,1.0,5.0,5.0,2.0,1.0,5.0,3.0,4.0,6.0,2.0,0.0,3.0,5.0,6.0,4.0,,2.0,4.0,0.0,3.0,2.0,1.0,,0.0,4,,3.0,2,4.0,4.0,4.0,4.0,3.0,6.0,0.0,4.0,0.0,5.0,4.0,6.0,6.0,5.0,2.0,,5.0,5.0,4.0,1.0,0.0,4.0,,0.0,,3.0,24,0.05,2.548895899053628,0.03564674041205988
0.0,5.0,3.0,,3.0,3.0,0.0,2.0,1.0,3.0,7.0,,3.0,2.0,5.0,2,4.0,6.0,5.0,2,3.0,,4.0,6.0,1.0,3.0,7.0,1.0,3.0,4.0,5.0,7.0,1.0,4.0,7.0,0.0,5.0,3.0,4.0,3.0,5.0,2.0,7.0,4.0,2.0,6.0,0.0,5.0,5.0,5.0,3.0,,0.0,,6.0,4.0,3.0,4.0,0.0,6.0,5.0,3.0,3,0.0,6.0,5,,0.0,4.0,2.0,0.0,3.0,3.0,1.0,,6.0,,4.0,1.0,4.0,6.0,7.0,0.0,2.0,3.0,6.0,4.0,,5.0,,,,25,0.05,3.012326656394453,-0.18666928843367472
,,1.0,5.0,6.0,0.0,4.0,5.0,0.0,4.0,3.0,5.0,2.0,2.0,2.0,1,3.0,7.0,0.0,2,0.0,1.0,5.0,2.0,5.0,2.0,3.0,5.0,7.0,7.0,4.0,0.0,3.0,5.0,0.0,3.0,,7.0,4.0,3.0,5.0,5.0,4.0,0.0,4.0,4.0,3.0,5.0,1.0,7.0,6.0,,3.0,4.0,1.0,2.0,5.0,6.0,4.0,7.0,,2.0,5,0.0,2.0,4,6.0,2.0,5.0,3.0,3.0,7.0,4.0,,,5.0,1.0,2.0,5.0,5.0,,5.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,,4.0,,26,0.05,2.9458204334365323,-0.24474554522117795
,,4.0,5.0,3.0,2.0,3.0,4.0,5.0,4.0,6.0,,6.0,2.0,2.0,1,2.0,1.0,0.0,2,3.0,5.0,0.0,5.0,,1.0,5.0,0.0,,,0.0,,4.0,,3.0,2.0,5.0,5.0,3.0,3.0,5.0,0.0,4.0,6.0,2.0,0.0,3.0,2.0,5.0,4.0,0.0,3.0,5.0,,5.0,1.0,2.0,6.0,0.0,2.0,,3.0,3,4.0,0.0,2,6.0,3.0,1.0,5.0,6.0,,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0,2.0,6.0,0.0,6.0,4.0,1.0,,27,0.05,2.6416,-0.2800179543601251
,,4.0,,,3.0,0.0,4.0,5.0,6.0,5.0,4.0,1.0,4.0,0.0,3,2.0,3.0,1.0,3,2.0,0.0,5.0,4.0,3.0,,,2.0,4.0,4.0,0.0,3.0,5.0,,4.0,3.0,,5.0,2.0,,0.0,2.0,4.0,3.0,5.0,2.0,3.0,5.0,,4.0,6.0,,5.0,,4.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,2,5.0,4.0,1,0.0,0.0,5.0,5.0,5.0,5.0,6.0,6.0,2.0,6.0,2.0,2.0,2.0,3.0,6.0,1.0,4.0,0.0,4.0,5.0,4.0,3.0,3.0,,1.0,,28,0.05,2.6048,-0.1569920545136656
4.0,,2.0,,2.0,0.0,2.0,5.0,3.0,2.0,0.0,5.0,3.0,3.0,6.0,4,2.0,,4.0,0,2.0,5.0,3.0,4.0,6.0,6.0,4.0,1.0,5.0,6.0,3.0,,2.0,6.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,2.0,2.0,6.0,6.0,1.0,3.0,3.0,5.0,2.0,6.0,2.0,,,1.0,5.0,1.0,,3.0,2,0.0,4.0,1,4.0,3.0,3.0,3.0,0.0,2.0,4.0,0.0,,2.0,1.0,3.0,5.0,2.0,,2.0,4.0,6.0,5.0,3.0,3.0,1.0,,,0.0,,29,0.05,2.588516746411483,-0.24658354029777235
